Date,Open,High,Low,Close,Prev_close,Change,%_change
2019-09-03,16.2825,18.27,16.2825,18.055,16.2825,1.77,10.89
2019-09-04,18.055,18.31,17.1275,17.235,18.055,-0.82,-4.54
2019-09-05,17.235,17.7025,16.0575,17.2725,17.235,0.04,0.22
2019-09-06,17.2725,17.2725,15.885,16.275,17.2725,-1.0,-5.78
2019-09-09,16.275,16.6425,13.665,15.8525,16.275,-0.42,-2.6
2019-09-11,15.8525,15.8525,14.6475,15.3725,15.8525,-0.48,-3.03
2019-09-12,15.3725,15.3725,14.6075,14.9,15.3725,-0.47,-3.07
2019-09-13,14.9,15.195,13.8875,14.12,14.9,-0.78,-5.23
2019-09-16,14.12,15.3075,14.1175,14.9525,14.12,0.83,5.9
2019-09-17,14.9525,16.3075,13.2775,16.0175,14.9525,1.06,7.12
2019-09-18,16.0175,16.1875,13.905,15.3525,16.0175,-0.66,-4.15
2019-09-19,15.3525,15.965,14.1775,15.55,15.3525,0.2,1.29
2019-09-20,15.55,17.045,13.8275,15.4,15.55,-0.15,-0.96
2019-09-23,15.4,17.64,14.21,16.7925,15.4,1.39,9.04
2019-09-24,16.7925,18.5325,15.8975,16.7325,16.7925,-0.06,-0.36
2019-09-25,16.7325,17.415,14.1025,16.17,16.7325,-0.56,-3.36
2019-09-26,16.17,17.01,13.64,16.3425,16.17,0.17,1.07
2019-09-27,16.3425,16.8175,15.9275,16.115,16.3425,-0.23,-1.39
2019-09-30,16.115,16.51,15.8,15.8725,16.115,-0.24,-1.5
2019-10-01,15.8725,18.2175,14.9475,16.7575,15.8725,0.88,5.58
2019-10-03,16.7575,18.045,16.4175,17.7025,16.7575,0.95,5.64
2019-10-04,17.7025,17.945,16.3475,17.58,17.7025,-0.12,-0.69
2019-10-07,17.58,18.4275,16.9925,17.83,17.58,0.25,1.42
2019-10-09,17.83,18.3275,16.335,17.155,17.83,-0.67,-3.79
2019-10-10,17.155,17.54,15.7275,17.2275,17.155,0.07,0.42
2019-10-11,17.2275,18.28,15.7775,17.14,17.2275,-0.09,-0.51
2019-10-14,17.14,17.9625,17.0625,17.43,17.14,0.29,1.69
2019-10-15,17.43,17.43,16.6925,16.85,17.43,-0.58,-3.33
2019-10-16,16.85,16.9525,15.495,16.36,16.85,-0.49,-2.91
2019-10-17,16.36,16.36,15.5175,15.8775,16.36,-0.48,-2.95
2019-10-18,15.8775,16.1525,14.99,15.9275,15.8775,0.05,0.31
2019-10-22,15.9275,17.1225,13.5725,16.81,15.9275,0.88,5.54
2019-10-23,16.81,16.85,14.83,16.535,16.81,-0.27,-1.64
2019-10-24,16.535,16.78,14.7125,16.24,16.535,-0.3,-1.78
2019-10-25,16.24,16.24,15.195,15.315,16.24,-0.92,-5.7
2019-10-27,16.24,16.24,13.9825,15.585,16.24,-0.65,-4.03
2019-10-29,15.585,16.5475,15.4975,16.42,15.585,0.84,5.36
2019-10-30,16.42,16.845,16.2525,16.6575,16.42,0.24,1.45
2019-10-31,16.6575,16.795,15.5025,16.28,16.6575,-0.38,-2.27
2019-11-01,16.28,16.4725,15.1675,15.7325,16.28,-0.55,-3.36
2019-11-04,15.7325,16.365,13.495,15.925,15.7325,0.19,1.22
2019-11-05,15.925,16.34,13.5075,15.9175,15.925,-0.01,-0.05
2019-11-06,15.9175,16.1525,13.3825,15.775,15.9175,-0.14,-0.9
2019-11-07,15.775,15.9225,13.525,15.2075,15.775,-0.57,-3.6
2019-11-08,15.2075,15.99,13.71,15.855,15.2075,0.65,4.26
2019-11-11,15.855,16.765,15.195,16.25,15.855,0.39,2.49
2019-11-13,16.25,16.67,14.4725,16.4625,16.25,0.21,1.31
2019-11-14,16.4625,16.4625,14.0925,15.65,16.4625,-0.81,-4.94
2019-11-15,15.65,15.65,12.5225,15.03,15.65,-0.62,-3.96
2019-11-18,15.03,16.065,12.665,15.755,15.03,0.73,4.82
2019-11-19,15.755,15.755,12.61,15.4125,15.755,-0.34,-2.17
2019-11-20,15.4125,15.4125,11.6075,15.16,15.4125,-0.25,-1.64
2019-11-21,15.16,15.595,12.61,14.975,15.16,-0.19,-1.22
2019-11-22,14.975,15.8775,12.2375,14.8725,14.975,-0.1,-0.68
2019-11-25,14.8725,15.2125,13.0,15.0025,14.8725,0.13,0.87
2019-11-26,15.0025,15.1275,13.1075,14.8375,15.0025,-0.16,-1.1
2019-11-27,14.8375,14.8375,12.3575,14.6175,14.8375,-0.22,-1.48
2019-11-28,14.6175,14.6175,12.8875,13.9875,14.6175,-0.63,-4.31
2019-11-29,13.9875,14.2925,13.14,13.8975,13.9875,-0.09,-0.64
2019-12-02,13.8975,15.845,13.4975,14.2025,13.8975,0.3,2.19
2019-12-03,14.2025,16.3425,12.07,14.5625,14.2025,0.36,2.53
2019-12-04,14.5625,15.8725,12.2625,13.3225,14.5625,-1.24,-8.52
2019-12-05,13.3225,15.12,12.8275,14.305,13.3225,0.98,7.37
2019-12-06,14.305,14.7225,11.4075,13.64,14.305,-0.66,-4.65
2019-12-09,13.64,15.3625,12.465,14.5975,13.64,0.96,7.02
2019-12-10,14.5975,15.6625,11.735,14.29,14.5975,-0.31,-2.11
2019-12-11,14.29,14.4475,11.71,13.3775,14.29,-0.91,-6.39
2019-12-12,13.3775,13.765,11.825,13.3475,13.3775,-0.03,-0.22
2019-12-13,13.3475,14.67,12.185,13.3,13.3475,-0.05,-0.36
2019-12-16,13.3,14.11,12.5,13.415,13.3,0.11,0.86
2019-12-17,13.415,13.425,11.955,12.5175,13.415,-0.9,-6.69
2019-12-18,12.5175,12.715,11.39,12.3375,12.5175,-0.18,-1.44
2019-12-19,12.3375,12.415,11.325,12.1225,12.3375,-0.21,-1.74
2019-12-20,12.1225,12.7325,11.9025,12.325,12.1225,0.2,1.67
2019-12-23,12.325,14.505,10.695,11.9575,12.325,-0.37,-2.98
2019-12-24,11.9575,13.31,10.8875,11.625,11.9575,-0.33,-2.78
2019-12-26,11.625,12.3475,10.8425,11.1225,11.625,-0.5,-4.32
2019-12-27,11.1225,11.4675,10.425,10.525,11.1225,-0.6,-5.37
2019-12-30,10.525,11.4525,9.6175,11.0075,10.525,0.48,4.58
2019-12-31,11.0075,11.7925,10.44,11.6675,11.0075,0.66,6.0
2020-01-01,11.6675,11.73,11.085,11.5975,11.6675,-0.07,-0.6
2020-01-02,11.5975,11.7,10.73,11.49,11.5975,-0.11,-0.93
2020-01-03,11.49,12.94,10.685,12.695,11.49,1.21,10.49
2020-01-06,12.695,15.095,12.695,14.7775,12.695,2.08,16.4
2020-01-07,14.7775,14.9125,14.4625,14.61,14.7775,-0.17,-1.13
2020-01-08,14.61,16.3875,13.7925,15.64,14.61,1.03,7.05
2020-01-09,15.64,15.64,12.995,13.9975,15.64,-1.64,-10.5
2020-01-10,13.9975,14.245,13.1775,14.0775,13.9975,0.08,0.57
